id,text,num_words,first_pos_tag,entity,is_singleton,previous_words,next_words
1,Kera\NN,1,NN,EVENT,True,[],"['untuk\\SC', 'amankan\\VB', 'pesta\\NN', 'olahraga\\NN', 'Pemerintah\\NNP', 'kota\\NNP', 'Delhi\\NNP', 'mengerahkan\\VB', 'monyet\\NN', 'untuk\\SC']"
2,pesta\NN olahraga\NN,2,NN,OTHER,True,"['Kera\\NN', 'untuk\\SC', 'amankan\\VB']","['Pemerintah\\NNP', 'kota\\NNP', 'Delhi\\NNP', 'mengerahkan\\VB', 'monyet\\NN', 'untuk\\SC', 'mengusir\\VB', 'monyet-monyet\\NN', 'lain\\JJ', 'yang\\SC']"
3,Pemerintah\NNP kota\NNP Delhi\NNP,3,NNP,TITLE|LOCATION,False,"['Kera\\NN', 'untuk\\SC', 'amankan\\VB', 'pesta\\NN', 'olahraga\\NN']","['mengerahkan\\VB', 'monyet\\NN', 'untuk\\SC', 'mengusir\\VB', 'monyet-monyet\\NN', 'lain\\JJ', 'yang\\SC', 'berbadan\\VB', 'lebih\\RB', 'kecil\\JJ']"
4,monyet\NN,1,NN,OTHER,True,"['Kera\\NN', 'untuk\\SC', 'amankan\\VB', 'pesta\\NN', 'olahraga\\NN', 'Pemerintah\\NNP', 'kota\\NNP', 'Delhi\\NNP', 'mengerahkan\\VB']","['untuk\\SC', 'mengusir\\VB', 'monyet-monyet\\NN', 'lain\\JJ', 'yang\\SC', 'berbadan\\VB', 'lebih\\RB', 'kecil\\JJ', 'dari\\IN', 'arena\\NN']"
5,monyet-monyet\NN lain\JJ,2,NN,OTHER,True,"['amankan\\VB', 'pesta\\NN', 'olahraga\\NN', 'Pemerintah\\NNP', 'kota\\NNP', 'Delhi\\NNP', 'mengerahkan\\VB', 'monyet\\NN', 'untuk\\SC', 'mengusir\\VB']","['yang\\SC', 'berbadan\\VB', 'lebih\\RB', 'kecil\\JJ', 'dari\\IN', 'arena\\NN', 'Pesta\\NNP', 'Olahraga\\NNP', 'Persemakmuran.\\NNP', 'Beberapa\\CD']"
6,Pesta\NNP Olahraga\NNP Persemakmuran.\NNP,3,NNP,FACILITY|OTHER,True,"['untuk\\SC', 'mengusir\\VB', 'monyet-monyet\\NN', 'lain\\JJ', 'yang\\SC', 'berbadan\\VB', 'lebih\\RB', 'kecil\\JJ', 'dari\\IN', 'arena\\NN']","['Beberapa\\CD', 'laporan\\NN', 'menyebutkan\\VB', 'setidaknya\\RB', '10\\CD', 'monyet\\NN', 'ditempatkan\\VB', 'di\\IN', 'luar\\NN', 'arena\\NN']"
7,Beberapa\CD laporan\NN,2,CD,OTHER,True,"['lain\\JJ', 'yang\\SC', 'berbadan\\VB', 'lebih\\RB', 'kecil\\JJ', 'dari\\IN', 'arena\\NN', 'Pesta\\NNP', 'Olahraga\\NNP', 'Persemakmuran.\\NNP']","['menyebutkan\\VB', 'setidaknya\\RB', '10\\CD', 'monyet\\NN', 'ditempatkan\\VB', 'di\\IN', 'luar\\NN', 'arena\\NN', 'lomba\\NN', 'dan\\CC']"
8,setidaknya\RB 10\CD monyet\NN,3,RB,OTHER|NUM,True,"['lebih\\RB', 'kecil\\JJ', 'dari\\IN', 'arena\\NN', 'Pesta\\NNP', 'Olahraga\\NNP', 'Persemakmuran.\\NNP', 'Beberapa\\CD', 'laporan\\NN', 'menyebutkan\\VB']","['ditempatkan\\VB', 'di\\IN', 'luar\\NN', 'arena\\NN', 'lomba\\NN', 'dan\\CC', 'pertandingan\\NN', 'di\\IN', 'ibukota\\NNP', 'India.\\NNP']"
9,lomba\NN dan\CC pertandingan\NN,3,NN,THINGS,True,"['Beberapa\\CD', 'laporan\\NN', 'menyebutkan\\VB', 'setidaknya\\RB', '10\\CD', 'monyet\\NN', 'ditempatkan\\VB', 'di\\IN', 'luar\\NN', 'arena\\NN']","['di\\IN', 'ibukota\\NNP', 'India.\\NNP', 'Pemkot\\NNP', 'Delhi\\NNP', 'memiliki\\VB', '28\\CD', 'monyet\\NN', 'dan\\CC', 'berencana\\VB']"
10,ibukota\NNP India.\NNP,2,NNP,OTHER,False,"['10\\CD', 'monyet\\NN', 'ditempatkan\\VB', 'di\\IN', 'luar\\NN', 'arena\\NN', 'lomba\\NN', 'dan\\CC', 'pertandingan\\NN', 'di\\IN']","['Pemkot\\NNP', 'Delhi\\NNP', 'memiliki\\VB', '28\\CD', 'monyet\\NN', 'dan\\CC', 'berencana\\VB', 'mendatangkan\\VB', '10\\CD', 'monyet\\NN']"
11,Pemkot\NNP Delhi\NNP,2,NNP,FACILITY|LOCATION,False,"['ditempatkan\\VB', 'di\\IN', 'luar\\NN', 'arena\\NN', 'lomba\\NN', 'dan\\CC', 'pertandingan\\NN', 'di\\IN', 'ibukota\\NNP', 'India.\\NNP']","['memiliki\\VB', '28\\CD', 'monyet\\NN', 'dan\\CC', 'berencana\\VB', 'mendatangkan\\VB', '10\\CD', 'monyet\\NN', 'sejenis\\NN', 'dari\\IN']"
12,28\CD monyet\NN,2,CD,PERSON,True,"['arena\\NN', 'lomba\\NN', 'dan\\CC', 'pertandingan\\NN', 'di\\IN', 'ibukota\\NNP', 'India.\\NNP', 'Pemkot\\NNP', 'Delhi\\NNP', 'memiliki\\VB']","['dan\\CC', 'berencana\\VB', 'mendatangkan\\VB', '10\\CD', 'monyet\\NN', 'sejenis\\NN', 'dari\\IN', 'negara\\NNP', 'bagian\\NNP', 'Rajasthan.\\NNP']"
13,10\CD monyet\NN sejenis\NN,3,CD,NUM,True,"['ibukota\\NNP', 'India.\\NNP', 'Pemkot\\NNP', 'Delhi\\NNP', 'memiliki\\VB', '28\\CD', 'monyet\\NN', 'dan\\CC', 'berencana\\VB', 'mendatangkan\\VB']","['dari\\IN', 'negara\\NNP', 'bagian\\NNP', 'Rajasthan.\\NNP', 'Jumlah\\NN', 'monyet\\NN', 'di\\IN', 'ibukota\\NNP', 'India\\NNP', 'mencapai\\VB']"
14,negara\NNP bagian\NNP Rajasthan.\NNP,3,NNP,OTHER,True,"['memiliki\\VB', '28\\CD', 'monyet\\NN', 'dan\\CC', 'berencana\\VB', 'mendatangkan\\VB', '10\\CD', 'monyet\\NN', 'sejenis\\NN', 'dari\\IN']","['Jumlah\\NN', 'monyet\\NN', 'di\\IN', 'ibukota\\NNP', 'India\\NNP', 'mencapai\\VB', 'ribuan,\\CD', 'sebagian\\NN', 'besar\\NN', 'berada\\VB']"
15,Jumlah\NN monyet\NN,2,NN,OTHER,True,"['dan\\CC', 'berencana\\VB', 'mendatangkan\\VB', '10\\CD', 'monyet\\NN', 'sejenis\\NN', 'dari\\IN', 'negara\\NNP', 'bagian\\NNP', 'Rajasthan.\\NNP']","['di\\IN', 'ibukota\\NNP', 'India\\NNP', 'mencapai\\VB', 'ribuan,\\CD', 'sebagian\\NN', 'besar\\NN', 'berada\\VB', 'di\\IN', 'kantor-kantor\\NN']"
16,ibukota\NNP India\NNP,2,NNP,OTHER|LOCATION,False,"['10\\CD', 'monyet\\NN', 'sejenis\\NN', 'dari\\IN', 'negara\\NNP', 'bagian\\NNP', 'Rajasthan.\\NNP', 'Jumlah\\NN', 'monyet\\NN', 'di\\IN']","['mencapai\\VB', 'ribuan,\\CD', 'sebagian\\NN', 'besar\\NN', 'berada\\VB', 'di\\IN', 'kantor-kantor\\NN', 'pemerintah\\NN', 'dan\\CC', 'hewan\\NN']"
17,"ribuan,\CD",1,CD,OTHER,True,"['dari\\IN', 'negara\\NNP', 'bagian\\NNP', 'Rajasthan.\\NNP', 'Jumlah\\NN', 'monyet\\NN', 'di\\IN', 'ibukota\\NNP', 'India\\NNP', 'mencapai\\VB']","['sebagian\\NN', 'besar\\NN', 'berada\\VB', 'di\\IN', 'kantor-kantor\\NN', 'pemerintah\\NN', 'dan\\CC', 'hewan\\NN', 'ini\\PR', 'dianggap\\VB']"
18,sebagian\NN besar\NN,2,NN,OTHER,True,"['negara\\NNP', 'bagian\\NNP', 'Rajasthan.\\NNP', 'Jumlah\\NN', 'monyet\\NN', 'di\\IN', 'ibukota\\NNP', 'India\\NNP', 'mencapai\\VB', 'ribuan,\\CD']","['berada\\VB', 'di\\IN', 'kantor-kantor\\NN', 'pemerintah\\NN', 'dan\\CC', 'hewan\\NN', 'ini\\PR', 'dianggap\\VB', 'mengganggu\\VB', 'ketertiban\\NN']"
19,kantor-kantor\NN pemerintah\NN,2,NN,OTHER,True,"['monyet\\NN', 'di\\IN', 'ibukota\\NNP', 'India\\NNP', 'mencapai\\VB', 'ribuan,\\CD', 'sebagian\\NN', 'besar\\NN', 'berada\\VB', 'di\\IN']","['dan\\CC', 'hewan\\NN', 'ini\\PR', 'dianggap\\VB', 'mengganggu\\VB', 'ketertiban\\NN', 'umum.\\JJ', 'Jenis\\NN', 'monyet\\NN', 'yang\\SC']"
20,hewan\NN ini\PR,2,NN,OTHER,True,"['India\\NNP', 'mencapai\\VB', 'ribuan,\\CD', 'sebagian\\NN', 'besar\\NN', 'berada\\VB', 'di\\IN', 'kantor-kantor\\NN', 'pemerintah\\NN', 'dan\\CC']","['dianggap\\VB', 'mengganggu\\VB', 'ketertiban\\NN', 'umum.\\JJ', 'Jenis\\NN', 'monyet\\NN', 'yang\\SC', 'dikerahkan\\VB', 'pemkot\\NN', 'berbadan\\VB']"
21,ketertiban\NN umum.\JJ,2,NN,OTHER,True,"['besar\\NN', 'berada\\VB', 'di\\IN', 'kantor-kantor\\NN', 'pemerintah\\NN', 'dan\\CC', 'hewan\\NN', 'ini\\PR', 'dianggap\\VB', 'mengganggu\\VB']","['Jenis\\NN', 'monyet\\NN', 'yang\\SC', 'dikerahkan\\VB', 'pemkot\\NN', 'berbadan\\VB', 'besar,\\JJ', 'berekor\\VB', 'panjang,\\JJ', 'dan\\CC']"
22,Jenis\NN monyet\NN,2,NN,OTHER,True,"['di\\IN', 'kantor-kantor\\NN', 'pemerintah\\NN', 'dan\\CC', 'hewan\\NN', 'ini\\PR', 'dianggap\\VB', 'mengganggu\\VB', 'ketertiban\\NN', 'umum.\\JJ']","['yang\\SC', 'dikerahkan\\VB', 'pemkot\\NN', 'berbadan\\VB', 'besar,\\JJ', 'berekor\\VB', 'panjang,\\JJ', 'dan\\CC', 'memiliki\\VB', 'wajah\\NN']"
23,pemkot\NN,1,NN,OTHER,False,"['hewan\\NN', 'ini\\PR', 'dianggap\\VB', 'mengganggu\\VB', 'ketertiban\\NN', 'umum.\\JJ', 'Jenis\\NN', 'monyet\\NN', 'yang\\SC', 'dikerahkan\\VB']","['berbadan\\VB', 'besar,\\JJ', 'berekor\\VB', 'panjang,\\JJ', 'dan\\CC', 'memiliki\\VB', 'wajah\\NN', 'berwarna\\VB', 'hitam.\\JJ', 'Monyet\\NN']"
24,Monyet\NN ini\PR,2,NN,OTHER,True,"['pemkot\\NN', 'berbadan\\VB', 'besar,\\JJ', 'berekor\\VB', 'panjang,\\JJ', 'dan\\CC', 'memiliki\\VB', 'wajah\\NN', 'berwarna\\VB', 'hitam.\\JJ']","['diikat\\VB', 'dengan\\IN', 'tali\\NN', 'panjang\\JJ', 'dan\\CC', 'pelatih\\NN', 'yang\\SC', 'mengawasi\\VB', 'mereka\\PRP', 'akan\\MD']"
25,tali\NN panjang\JJ,2,NN,OTHER,True,"['panjang,\\JJ', 'dan\\CC', 'memiliki\\VB', 'wajah\\NN', 'berwarna\\VB', 'hitam.\\JJ', 'Monyet\\NN', 'ini\\PR', 'diikat\\VB', 'dengan\\IN']","['dan\\CC', 'pelatih\\NN', 'yang\\SC', 'mengawasi\\VB', 'mereka\\PRP', 'akan\\MD', 'melepas\\VB', 'tali\\NN', 'begitu\\SC', 'monyet-monyet\\NN']"
26,mereka\PRP,1,PRP,OTHER,True,"['Monyet\\NN', 'ini\\PR', 'diikat\\VB', 'dengan\\IN', 'tali\\NN', 'panjang\\JJ', 'dan\\CC', 'pelatih\\NN', 'yang\\SC', 'mengawasi\\VB']","['akan\\MD', 'melepas\\VB', 'tali\\NN', 'begitu\\SC', 'monyet-monyet\\NN', 'kecil\\JJ', 'lain\\JJ', 'mendekat.\\VB', 'Kantor\\NNP', 'berita\\NNP']"
